,0
0,-6730.601677649654
1,7147.725059343502
2,2407.5974688027054
3,427.5519704329781
4,10620.979522479
5,-2684.427605308825
6,9923.200517555699
7,-720.7347590187564
8,-1784.4335248388816
9,11266.489084148547
10,3450.1599698120262
11,1793.0128420293331
12,-2816.0989277374465
13,-3488.7519600780215
14,24060.303032653872
15,7680.999245788902
16,-1364.4956194530241
17,407.02925454382785
18,-225.01628166926093
19,304.16979308612645
20,23.45598728186451
21,1297.987561887363
22,1468.3845084232744
23,-799.7964590315241
24,-2424.2280654376373
25,-6442.630216373829
26,290.8563002801966
27,4727.909067157656
28,1909.1724861119874
29,-997.5992319192737
30,-11607.419090350624
31,-2565.5471786605194
32,1560.777842960786
33,12754.882574870251
34,-5656.528945933096
35,-3462.717412359314
36,-174.38271074392833
37,372.67009873036295
38,6146.578081810381
39,-155.85259030293673
40,4703.070482543437
41,3824.1997156492434
42,-12983.281419176375
43,-597.5752029842697
44,-525.3295692454558
45,1799.8632117642555
46,14103.670814489247
47,-553.1510799790267
48,3887.8085823631845
49,4398.830755634233
50,8265.050925522111
51,6272.5002351377625
52,-3891.1314152912237
53,5730.517921028426
54,-2699.126065749908
55,-2878.51940170303
56,-8186.900991592323
57,659.4348801421002
58,6002.739697036799
59,3599.035155029036
60,-1222.2677276609465
61,9114.351809845073
