,0
0,1222134.5
1,1229651.6312498474
2,1223832.05926651
3,1227753.232416992
4,1219140.9255715942
5,1214206.263835144
6,1224211.5638623047
7,1219938.498225708
8,1218339.800499878
9,1215903.4039950562
10,1208236.062985382
11,1203039.2711987305
12,1203693.8442291259
13,1200850.5737960816
14,1205062.1390722657
15,1210263.8787547303
16,1211334.3005743409
17,1211958.0371577453
18,1207068.1466239928
19,1202469.7821670533
20,1196392.694716797
21,1194161.6807106019
22,1201617.9825216676
23,1197458.6408703614
24,1197848.705977783
25,1193533.5503930664
26,1199229.251657715
27,1202657.473996582
28,1208501.9383642578
29,1213869.8541638183
30,1220088.3118249513
31,1219147.7848083496
32,1205726.1417773436
33,1219101.0943310545
34,1214752.8081018066
35,1223910.8976245117
36,1226772.9424694823
37,1230647.966192627
38,1225614.2039013673
39,1239114.3441638183
40,1238706.467886963
41,1234184.7897485353
42,1235886.0811804198
43,1234533.3283642577
44,1225312.4518725586
45,1229135.5746411134
46,1235544.5878869628
47,1234203.407504883
48,1230509.4437817384
49,1241419.3486743164
50,1240290.3612280274
51,1236411.2270275878
52,1228803.3372424317
53,1221872.36984375
54,1221704.8784118653
55,1217673.9470275878
56,1214258.7875048828
57,1214873.1446887208
58,1221365.2655957032
59,1218846.2511804197
60,1229827.1376721193
61,1221775.0481018068
62,1225526.6013476562
