,0
0,1581093.375
1,1581307.1030978097
2,1585853.25540054
3,1590907.103510351
4,1583344.9567956796
5,1589815.9384938495
6,1594340.6022445995
7,1595918.271330258
8,1596412.221009601
9,1604117.3252777974
10,1595149.9837656461
11,1592015.0973570053
12,1591642.684953765
13,1608038.0543867082
14,1612761.06910318
15,1623011.1135226218
16,1621255.6859258623
17,1611429.8195172213
18,1615941.8939366632
19,1607979.915214791
20,1606371.875
21,1606371.875
22,1606371.875
23,1606371.875
24,1606371.875
25,1606371.875
26,1606371.875
27,1606371.875
28,1606371.875
29,1606371.875
30,1606371.875
31,1606371.875
32,1606371.875
33,1606371.875
34,1606371.875
35,1605570.7935043504
36,1607793.7780153016
37,1612691.3735373537
38,1612099.302148965
39,1613247.4045717071
40,1606089.1060137264
41,1604943.375
42,1604943.375
43,1605154.101710171
44,1605187.455220522
45,1603949.800630063
46,1598007.283040804
47,1601568.200551305
48,1600619.375
49,1600619.375
50,1600619.375
51,1600619.375
52,1601360.0411041104
53,1601167.5
54,1602790.976110111
55,1603667.3068181819
56,1600156.1386138615
57,1596273.1548154815
58,1591959.0345034504
59,1591519.6668260577
60,1590360.875
61,1590360.875
62,1590360.875
