,0
0,1684978.875
1,1683934.422126503
2,1683736.75
3,1683736.75
4,1683736.75
5,1683736.75
6,1683736.75
7,1683736.75
8,1683736.75
9,1683736.75
10,1683736.75
11,1683736.75
12,1683736.75
13,1683736.75
14,1683736.75
15,1683736.75
16,1683736.75
17,1683736.75
18,1683736.75
19,1683736.75
20,1683736.75
21,1683736.75
22,1683736.75
23,1683736.75
24,1683736.75
25,1683736.75
26,1683736.75
27,1683736.75
28,1684047.454518442
29,1683886.625
30,1683886.625
31,1683886.625
32,1683886.625
33,1683886.625
34,1683886.625
35,1683886.625
36,1683886.625
37,1683886.625
38,1683886.625
39,1683886.625
40,1683886.625
41,1683886.625
42,1683886.625
43,1683886.625
44,1683886.625
45,1683886.625
46,1683886.625
47,1683886.625
48,1683886.625
49,1683886.625
50,1683886.625
51,1683886.625
52,1683886.625
53,1683886.625
54,1683886.625
55,1683886.625
56,1683886.625
57,1683886.625
58,1683886.625
59,1683886.625
60,1683886.625
61,1683886.625
62,1683886.625
