,0
0,1298867.0
1,1297222.6736833884
2,1304370.398742732
3,1306777.9962115346
4,1307205.5481819676
5,1317826.5277044466
6,1315142.1000991378
7,1325065.3006166935
8,1324344.5658576747
9,1322560.1323328358
10,1333826.6214169844
11,1337276.7813867964
12,1339069.7942288257
13,1336253.6953010883
14,1332764.9433410103
15,1356825.2463736641
16,1364506.245619453
17,1363141.75
18,1363548.7792545438
19,1363323.7629728746
20,1363627.9327659607
21,1363651.3887532426
22,1364949.37631513
23,1366417.7608235532
24,1365617.9643645217
25,1363193.736299084
26,1356751.1060827102
27,1357041.9623829904
28,1361769.871450148
29,1363679.04393626
30,1362681.4447043408
31,1351074.0256139901
32,1348508.4784353296
33,1350069.2562782904
34,1362824.1388531607
35,1357167.6099072276
36,1353704.8924948683
37,1353530.5097841243
38,1353903.1798828547
39,1360049.757964665
40,1359893.9053743621
41,1364596.9758569056
42,1368421.1755725548
43,1355437.8941533784
44,1354840.3189503942
45,1354314.9893811487
46,1356114.852592913
47,1370218.5234074022
48,1369665.3723274232
49,1373553.1809097864
50,1377952.0116654206
51,1386217.0625909427
52,1392489.5628260805
53,1388598.4314107893
54,1394328.9493318177
55,1391629.8232660678
56,1388751.3038643647
57,1380564.4028727724
58,1381223.8377529145
59,1387226.5774499513
60,1390825.6126049804
61,1389603.3448773194
62,1398717.6966871645
