,0
0,190.1139807892032
1,1002.2446073913015
2,5309.7425389098935
3,-841.3445381927304
4,0.0
5,0.0
6,0.0
7,-158.70367534644902
8,1105.6752168799285
9,-197.43797933100723
10,3336.4298551559914
11,-4273.840579109266
12,-647.7478382491972
13,0.0
14,0.0
15,0.0
16,0.0
17,-2642.8008089638315
18,-156.1991910361685
19,-4663.554263296071
20,2977.6056642055046
21,-1322.0656022001058
22,-305.61079870932736
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
