,0
253,1551201.9462423818
254,1552856.2622218286
255,1561610.7057784672
256,1556190.1901775063
257,1550069.3542164336
258,1540248.418698313
259,1549217.5023338355
260,1547681.130832145
261,1529607.6569523078
262,1546907.0988388003
263,1541072.5761205354
264,1492619.693887752
265,1457111.7321990167
266,1463065.0384037956
267,1450603.5356295307
268,1455932.849655397
269,1446253.2846308118
270,1432786.416346778
271,1454892.444017425
272,1465166.4950562103
273,1469216.3332448083
274,1422989.130946672
275,1429042.4959199463
276,1412240.9701113813
277,1436838.2492336817
278,1437965.940425356
279,1447594.3465605804
280,1439852.4419601222
281,1465127.084013165
282,1472657.5872188313
283,1481612.3380522602
284,1480322.0415039463
285,1481156.456724028
286,1470002.9941165096
287,1483405.6013903029
288,1471932.8682208199
289,1473700.0321367143
290,1482700.7514159183
291,1488165.9293515712
292,1489518.6249456718
293,1508026.1535083742
294,1529462.3798943234
295,1527811.544462847
296,1527387.0196047162
297,1532431.9306290825
298,1540550.2892354995
299,1545113.9958591808
300,1548594.7187639526
301,1560684.774982055
302,1564356.6861855472
303,1568529.6829757597
304,1558831.2487387112
305,1559741.9604783421
306,1566658.242904824
307,1563691.8636534177
308,1562808.2801717992
309,1559166.5888966685
310,1560957.2389320838
311,1565248.4329718584
312,1557399.2428290218
313,1565436.921813136
314,1577449.6549765156
315,1578630.3450274044
316,1578263.3086130065
317,1585382.7944960687
318,1590582.5502603771
319,1587044.102121312
320,1592164.11190561
321,1615765.6470701254
322,1616848.7001257797
323,1550555.9337680575
324,1562415.1633351767
325,1559063.0922589172
326,1560993.8376486918
327,1559396.3490328495
328,1564273.399699417
329,1552406.0106556858
330,1534295.1643002317
331,1556992.8096235392
332,1574321.9018670095
333,1525285.5375600252
334,1551434.4845062646
335,1522510.7018755523
336,1512590.9297350491
337,1458915.212725627
338,1438670.2927244448
339,1483710.1442269597
340,1479058.1291271674
341,1502402.8692435431
342,1489661.5709674014
343,1464776.0234881756
344,1461669.972563652
345,1442320.9335827094
346,1435671.7362983015
347,1386748.9497732257
348,1409284.9234104897
349,1387250.9773911322
350,1402736.87772101
351,1389723.4232340944
352,1428950.739192826
353,1407562.774136039
354,1387026.2787014567
355,1413822.0922311693
356,1409623.7455468753
357,1367431.5943819406
358,1344839.1394723065
359,1354490.715717486
360,1348897.6846467827
361,1368349.4433118638
362,1378307.2174748
363,1368026.5643484043
