,0
0,1076251.375
1,1072865.5050644875
2,1055249.9579853057
3,1054350.7783267212
4,1052138.26438591
5,1063232.5424404908
6,1074742.9003551481
7,1075332.7756463694
8,1069223.1716421128
9,1074513.420413434
10,1083500.7226084138
11,1089859.1498501587
12,1079030.9964350127
13,1085502.9783551022
14,1084650.0143083192
15,1084410.7724479313
16,1079512.2307699204
17,1065783.6586579895
18,1058288.6619166567
19,1066516.3412821959
20,1061550.4987045834
21,1054330.9976952076
22,1054134.853378687
23,1056430.4788213598
24,1055481.851355095
25,1067543.861300098
26,1049292.210422629
27,1045361.5550136
28,1033233.3210440588
29,1043901.0179477979
30,1034610.2007755545
31,1041126.1342620783
32,1036356.3344871039
33,1041049.1894189005
34,1042144.688439481
35,1053949.261745808
36,1066301.9847966637
37,1063383.3920681272
38,1065732.8406632626
39,1061406.7026877927
40,1060230.8444046678
41,1060588.024111881
42,1052544.2078361898
43,1059314.1284255714
44,1056574.5305091008
45,1056735.4787405168
46,1054383.840148639
47,1044004.4384561784
48,1034978.2894490967
49,1026959.5826288707
50,1026106.8837964728
51,1029535.1886153431
52,1025595.5218363289
53,1034600.2835321871
54,1037253.0508951232
55,1035014.7526727957
56,1052145.9455266602
57,1006017.2409533975
58,990170.6381754556
59,1006584.9612197957
60,1023425.028656789
61,1037711.3374394127
62,1038657.281159854
