,0
0,-353.1147351268446
1,-3345.267801742186
2,-5484.551665897365
3,-3540.074729120941
4,653.5195030855248
5,2779.792040350614
6,-13456.33719190082
7,6374.1379958417965
8,-14000.187595685828
9,300.6162706743926
10,-15193.412031014217
11,9796.958683350123
12,12535.99965156801
13,-11654.255531778093
14,18856.59108747996
15,-8056.745266963728
16,4423.783602503012
17,24569.03162598377
18,-2561.4320437586866
19,-18016.437875113566
20,10270.852318147663
21,4041.318215484498
22,-10910.800972289755
23,-11460.124511947623
24,-1950.3761432649335
25,-9412.798921890557
26,-14851.72970077477
27,17111.771999969264
28,15203.989475479233
29,15907.387410278548
30,-4097.619906158769
31,-643.8178172302432
32,13796.925139312865
33,-11193.834403533954
34,2382.105672912672
35,9608.548492889502
36,-4748.406423950219
37,-7081.896880340646
38,22280.097100219573
39,1362.1003607177408
40,5028.768524170038
41,4130.048589782673
42,3239.3047054291237
43,-7836.189706954756
44,495.5886958311312
45,2664.8210128782084
46,12670.265584259294
47,569.1097793577937
48,213.3194061279064
49,1203.425328369136
50,5921.784972686786
51,7061.7101200104225
52,1863.6865668487735
53,-920.435877685668
54,-2290.3869149780367
55,210.2951512148138
56,928.1396592713427
57,9034.27412460302
58,6056.474883270217
59,-3111.735820770031
60,8436.648125762818
61,440.08597747818567
