,0
0,1000000.0
1,999646.8852648732
2,996301.617463131
3,990817.0657972336
4,987276.9910681127
5,987930.5105711982
6,990710.3026115488
7,977253.965419648
8,983628.1034154898
9,969627.915819804
10,969928.5320904783
11,954735.1200594641
12,964532.0787428143
13,977068.0783943823
14,965413.8228626042
15,984270.4139500841
16,976213.6686831204
17,980637.4522856234
18,1005206.4839116072
19,1002645.0518678485
20,984628.6139927349
21,994899.4663108826
22,998940.7845263671
23,988029.9835540773
24,976569.8590421297
25,974619.4828988648
26,965206.6839769742
27,950354.9542761995
28,967466.7262761687
29,982670.715751648
30,998578.1031619265
31,994480.4832557677
32,993836.6654385375
33,1007633.5905778504
34,996439.7561743164
35,998821.8618472291
36,1008430.4103401186
37,1003682.0039161684
38,996600.1070358277
39,1018880.2041360473
40,1020242.304496765
41,1025271.0730209351
42,1029401.1216107177
43,1032640.4263161469
44,1024804.2366091921
45,1025299.8253050232
46,1027964.6463179014
47,1040634.9119021607
48,1041204.0216815185
49,1041417.3410876464
50,1042620.7664160156
51,1048542.5513887024
52,1055604.2615087128
53,1057467.9480755616
54,1056547.5121978759
55,1054257.1252828978
56,1054467.4204341127
57,1055395.560093384
58,1064429.834217987
59,1070486.3091012572
60,1067374.5732804872
61,1075811.22140625
62,1076251.3073837282
