,0
0,1642434.5
1,1643081.0
2,1642926.75
3,1642926.75
4,1642926.75
5,1642926.75
6,1642926.75
7,1642926.75
8,1642926.75
9,1642926.75
10,1642926.75
11,1642926.75
12,1642926.75
13,1642926.75
14,1642926.75
15,1642926.75
16,1642926.75
17,1642926.75
18,1642926.75
19,1642926.75
20,1642926.75
21,1642926.75
22,1642926.75
23,1642926.75
24,1642926.75
25,1642926.75
26,1642926.75
27,1642926.75
28,1642926.75
29,1642926.75
30,1642926.75
31,1642926.75
32,1642926.75
33,1642926.75
34,1642926.75
35,1642926.75
36,1642926.75
37,1642567.875
38,1642486.0
39,1642130.5
40,1642130.5
41,1642130.5
42,1646426.375
43,1646240.625
44,1646240.625
45,1646240.625
46,1646240.625
47,1646240.625
48,1646240.625
49,1646240.625
50,1646240.625
51,1646240.625
52,1646240.625
53,1646240.625
54,1646240.625
55,1646240.625
56,1646240.625
57,1646240.625
58,1646240.625
59,1646240.625
60,1646240.625
61,1646240.625
62,1646240.625
