,0
0,1080226.25
1,1066801.7017114258
2,1075562.4242565918
3,1072656.2676815796
4,1076441.6610253905
5,1079672.1523709106
6,1067343.8259487916
7,1069011.4637100217
8,1065597.3520829773
9,1071548.2691156007
10,1068951.0138626099
11,1081713.6052011107
12,1082106.081644287
13,1080513.5881118774
14,1078019.6770922851
15,1083714.9170372009
16,1071047.2552404788
17,1072515.6414831541
18,1072459.732501221
19,1065837.8255090332
20,1065812.699244385
21,1060719.3722998048
22,1059857.6628190612
23,1059487.4875585937
24,1057641.8635290526
25,1082709.2833581544
26,1086603.4178881834
27,1103047.2272180174
28,1126105.0174389647
29,1130372.7377282714
30,1136466.0428564453
31,1148046.3685363769
32,1134100.193588867
33,1139770.5338891603
34,1140016.9224865723
35,1141601.6441625976
36,1146402.7041601562
37,1151116.8305029299
38,1153591.815419922
39,1149235.4998449706
40,1154833.4139074709
41,1163559.4179760742
42,1176573.2229541014
43,1171831.5035351564
44,1176092.3745764159
45,1181851.275029297
46,1202778.4085424806
47,1211037.811130371
48,1220949.3746533203
49,1220768.0459313965
50,1227362.954550781
51,1217982.8486682128
52,1223109.9482141116
53,1223550.7778967286
54,1223999.4420251464
55,1231919.370003662
56,1227716.9040991212
57,1228971.7644470213
58,1230309.5861950684
59,1231488.8632141112
60,1225033.740880127
61,1222396.9356958007
62,1222134.6555871582
