,0
0,1603311.875
1,1603583.7621855813
2,1605323.4710716582
3,1605080.1969932322
4,1605095.0149087878
5,1604862.8387317345
6,1603609.537504663
7,1606833.4159375057
8,1607908.86918422
9,1610103.5680037544
10,1616983.030432586
11,1612673.1965829371
12,1618598.8464201507
13,1618843.1826338577
14,1618126.1251100954
15,1616489.2462164215
16,1616261.4274104403
17,1622194.2250573728
18,1620950.3752421716
19,1624043.6186003874
20,1628859.6507290797
21,1633710.4809317915
22,1629172.3215307705
23,1616102.3166865367
24,1613999.4650264655
25,1609842.0923806562
26,1622371.9154392688
27,1626968.218494855
28,1626879.0732025418
29,1649066.126754713
30,1652589.646448441
31,1654344.9354074474
32,1657114.9957663706
33,1665667.051417068
34,1665550.3582641946
35,1666631.7053153608
36,1662805.933250828
37,1659627.7634459236
38,1667276.5502591608
39,1659869.168166019
40,1658472.358872203
41,1658627.082027791
42,1647431.7323241148
43,1643679.5106758894
44,1661726.4664314268
45,1664602.1594404867
46,1672360.9495429231
47,1674375.254093399
48,1686244.6886020661
49,1685534.432960968
50,1677219.2133883669
51,1667685.2412338257
52,1674680.92366272
53,1646994.7436155702
54,1643472.227500458
55,1659282.6118122484
56,1653581.6868423466
57,1661163.7367875671
58,1671605.3932164006
59,1689306.9514060977
60,1687526.2380215456
61,1685838.75
62,1685838.75
