,0
0,1398717.75
1,1408501.4550762936
2,1408049.5571435548
3,1404656.1000683596
4,1400456.4978826905
5,1404377.968369751
6,1407540.4501296997
7,1400409.4976689147
8,1397514.445289154
9,1400554.4920092775
10,1424689.0398489381
11,1430835.5507077028
12,1425257.5798522949
13,1445567.994737549
14,1441011.6705517578
15,1450037.954173584
16,1441147.447611084
17,1447483.7624658202
18,1450685.0956774903
19,1442710.6883740234
20,1442253.0300061035
21,1444690.0685742188
22,1453095.2434777834
23,1456561.1643200682
24,1452078.312679443
25,1454746.64539917
26,1450138.7302124023
27,1448895.596636963
28,1444418.897039795
29,1449769.2185974119
30,1444181.8738952638
31,1436911.7395996095
32,1453674.498355713
33,1445936.8165856935
34,1452823.4747839358
35,1462056.5767919922
36,1458169.552937012
37,1462683.2205944825
38,1462583.5124230958
39,1484896.5302539063
40,1506813.8198522949
41,1535619.7647558593
42,1525752.7153466796
43,1522450.7763562012
44,1512889.0302478028
45,1513658.3409960938
46,1517491.39857666
47,1536100.5116418458
48,1532617.875900879
49,1544525.192667236
50,1550644.0538403317
51,1541332.003330078
52,1547546.370529785
53,1555252.6246289064
54,1552139.8904943848
55,1554010.5267602538
56,1553496.9402111815
57,1550078.1565551755
58,1550680.0263354492
59,1553688.5425805666
60,1561792.8917138672
61,1550531.4431677244
62,1560584.357507324
