,0
0,1590360.875
1,1588351.9659077653
2,1588127.0
3,1588127.0
4,1588127.0
5,1588127.0
6,1588127.0
7,1589968.7889309698
8,1588544.7039629363
9,1596159.2775552017
10,1596910.1196532717
11,1596487.875
12,1596487.875
13,1596487.875
14,1596487.875
15,1596487.875
16,1596487.875
17,1596487.875
18,1596487.875
19,1596487.875
20,1596487.875
21,1596487.875
22,1596487.875
23,1596487.875
24,1596487.875
25,1596487.875
26,1596487.875
27,1596487.875
28,1596487.875
29,1596487.875
30,1596487.875
31,1596487.875
32,1596487.875
33,1596487.875
34,1596487.875
35,1596487.875
36,1596487.875
37,1596487.875
38,1596487.875
39,1596487.875
40,1596487.875
41,1596487.875
42,1596487.875
43,1596487.875
44,1596487.875
45,1596487.875
46,1596487.875
47,1596487.875
48,1596487.875
49,1596487.875
50,1596487.875
51,1596487.875
52,1596487.875
53,1596487.875
54,1596487.875
55,1596487.875
56,1596487.875
57,1603469.8151031611
58,1603311.875
59,1603311.875
60,1603311.875
61,1603311.875
62,1603311.875
