,0
0,1560584.25
1,1571372.8150450136
2,1597828.4445043944
3,1596226.22
4,1596225.82
5,1596226.38
6,1596223.05
7,1596221.95
8,1596222.94
9,1596223.75
10,1596223.42
11,1596221.84
12,1596221.36
13,1596222.82
14,1596223.91
15,1596222.88
16,1596225.19
17,1596229.67
18,1596228.49
19,1596229.47
20,1596230.01
21,1596234.76
22,1596241.17
23,1596235.84
24,1596237.91
25,1596246.26
26,1596243.04
27,1596239.96
28,1596238.28
29,1596234.19
30,1596232.27
31,1596235.96
32,1596236.69
33,1596237.02
34,1596233.39
35,1596229.84
36,1596228.56
37,1596230.99
38,1596237.62
39,1596242.02
40,1596245.87
41,1596241.13
42,1596238.5
43,1596240.74
44,1596238.66
45,1596234.0
46,1596237.75
47,1596238.56
48,1596239.71
49,1596237.68
50,1596235.79
51,1594232.432716299
52,1595214.7983669778
53,1594333.0932838907
54,1577975.6250440702
55,1566040.1499770882
56,1587720.5118145216
57,1573071.3100761676
58,1571640.8759805397
59,1584628.7914674496
60,1555756.9930864647
61,1577616.4638346964
62,1589085.023912486
