,0
0,1685838.75
1,1685680.8074151992
2,1685552.125
3,1685552.125
4,1685552.125
5,1685552.125
6,1685552.125
7,1685552.125
8,1685552.125
9,1685552.125
10,1685552.125
11,1685552.125
12,1685552.125
13,1685552.125
14,1685552.125
15,1685552.125
16,1685552.125
17,1685552.125
18,1685552.125
19,1685552.125
20,1685552.125
21,1685552.125
22,1685552.125
23,1685552.125
24,1685552.125
25,1685552.125
26,1685552.125
27,1685552.125
28,1685552.125
29,1685552.125
30,1685552.125
31,1685552.125
32,1685552.125
33,1685552.125
34,1685552.125
35,1685552.125
36,1685552.125
37,1685552.125
38,1685552.125
39,1685552.125
40,1685552.125
41,1685552.125
42,1685552.125
43,1685552.125
44,1685552.125
45,1685552.125
46,1685552.125
47,1685552.125
48,1685552.125
49,1685552.125
50,1685552.125
51,1685552.125
52,1685552.125
53,1685552.125
54,1685552.125
55,1685552.125
56,1685552.125
57,1685447.7570136834
58,1685698.1579425144
59,1686357.948979273
60,1687308.9034763812
61,1689644.0965875243
62,1688872.8451573944
