,0
0,213.72809780971147
1,4546.152302730363
2,5053.848109810846
3,-7562.146714671282
4,6470.981698169839
5,4524.663750750013
6,1577.669085658621
7,493.949679342797
8,7705.104268196505
9,-8967.341512151295
10,-3134.8864086407702
11,-372.41240324033424
12,16395.369432943175
13,4723.014716471778
14,10250.044419441838
15,-1755.4275967595167
16,-9825.866408640984
17,4512.074419441866
18,-7961.978721872205
19,-1608.0402147909626
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,-801.081495649647
35,2222.98451095121
36,4897.595522052143
37,-592.0713883887511
38,1148.102422742173
39,-7158.298557980685
40,-1145.731013726443
41,0.0
42,210.7267101709731
43,33.35351035092026
44,-1237.654590458842
45,-5942.517589258961
46,3560.9175105008762
47,-948.8255513049662
48,0.0
49,0.0
50,0.0
51,740.6661041104235
52,-192.54110411042348
53,1623.4761101109907
54,876.330708070891
55,-3511.168204320362
56,-3882.98379838001
57,-4314.120312031126
58,-439.3676773926709
59,-1158.7918260577135
60,0.0
61,0.0
