,0
0,1688872.875
1,1686456.4823918915
2,1687458.7269992828
3,1692768.4695381927
4,1691927.125
5,1691927.125
6,1691927.125
7,1691927.125
8,1691768.4213246536
9,1692874.0965415335
10,1692676.6585622025
11,1696013.0884173585
12,1691739.2478382492
13,1691091.5
14,1691091.5
15,1691091.5
16,1691091.5
17,1691091.5
18,1688448.6991910362
19,1688292.5
20,1683628.945736704
21,1686606.5514009094
22,1685284.4857987093
23,1684978.875
24,1684978.875
25,1684978.875
26,1684978.875
27,1684978.875
28,1684978.875
29,1684978.875
30,1684978.875
31,1684978.875
32,1684978.875
33,1684978.875
34,1684978.875
35,1684978.875
36,1684978.875
37,1684978.875
38,1684978.875
39,1684978.875
40,1684978.875
41,1684978.875
42,1684978.875
43,1684978.875
44,1684978.875
45,1684978.875
46,1684978.875
47,1684978.875
48,1684978.875
49,1684978.875
50,1684978.875
51,1684978.875
52,1684978.875
53,1684978.875
54,1684978.875
55,1684978.875
56,1684978.875
57,1684978.875
58,1684978.875
59,1684978.875
60,1684978.875
61,1684978.875
62,1684978.875
