,0
0,1589084.75
1,1571437.0793115478
2,1575343.9474836665
3,1608719.711161475
4,1593266.127146746
5,1616725.4614788683
6,1606605.9710065743
7,1622457.2742305058
8,1627197.311410357
9,1632401.063037669
10,1619210.3760264062
11,1617591.5
12,1617591.5
13,1617591.5
14,1617591.5
15,1617591.5
16,1617591.5
17,1617591.5
18,1617591.5
19,1617591.5
20,1617591.5
21,1617591.5
22,1617591.5
23,1617591.5
24,1617591.5
25,1617591.5
26,1617591.5
27,1617591.5
28,1617591.5
29,1617898.5227374744
30,1617746.625
31,1617501.4906064225
32,1619487.4706226175
33,1616928.342005475
34,1617152.7524477006
35,1615344.7846453313
36,1614318.3249485663
37,1607463.0339894812
38,1613358.5116942723
39,1608324.2089403744
40,1612180.8391052056
41,1616349.2044335126
42,1615945.4058153343
43,1623288.7518322563
44,1625241.474921788
45,1629372.8731894605
46,1630653.1237467574
47,1629738.355458145
48,1626920.9937553788
49,1626905.8723125455
50,1627341.8618974953
51,1622622.7602851866
52,1613071.3755903624
53,1612230.6963530348
54,1602020.0205119143
55,1607970.4789497275
56,1589635.5587912612
57,1591487.7376532739
58,1578045.7683347238
59,1579865.999780966
60,1582676.0708709713
61,1581093.375
62,1581093.375
