,0
0,1225526.625
1,1222293.9767321777
2,1224212.4403723143
3,1229393.1068234253
4,1229782.5712158203
5,1230852.5274243164
6,1229931.4864953614
7,1222578.7176062013
8,1231938.0489111326
9,1235514.5763682555
10,1237038.6979455566
11,1250188.036315918
12,1249264.4119921874
13,1255609.1124864197
14,1265943.467261963
15,1267622.4850964353
16,1268786.967871704
17,1270057.033807373
18,1270995.9098822023
19,1269724.875
20,1269336.1014851485
21,1269827.435568557
22,1272012.7411678669
23,1270999.0476485149
24,1270545.25
25,1270545.25
26,1270545.25
27,1270102.6113861387
28,1269990.125
29,1269990.125
30,1269990.125
31,1269990.125
32,1269990.125
33,1269990.125
34,1269874.0735823582
35,1270605.0623687368
36,1270378.375
37,1270373.3319831984
38,1270299.2787653767
39,1271493.2019576957
40,1275382.7819531953
41,1279292.3334458447
42,1278756.0664378938
43,1277183.8846384638
44,1280531.8879856737
45,1280838.3830023627
46,1284002.080192394
47,1277751.59008051
48,1288534.182621764
49,1290486.6916976718
50,1290786.4897834803
51,1292948.8354930512
52,1303599.079420444
53,1302199.8098164836
54,1300379.6411696188
55,1301742.8506745694
56,1303514.3618626883
57,1301496.8548659887
58,1293541.1764501468
59,1300463.5392554274
60,1288865.5010376058
61,1292306.809849487
62,1298867.0369781998
