,0
0,6548.232971367659
1,2056.0627681018086
2,17445.39390540833
3,7742.111808624817
4,13779.282294164179
5,1803.3894127912354
6,18588.803380693775
7,-1978.260821994627
8,5353.60453533195
9,-4794.258392013144
10,2243.2625834662467
11,-8799.085811722325
12,2336.1895335128065
13,-991.826155789895
14,2341.810568928253
15,379.4924827243667
16,-1593.4472814218607
17,-5373.790572793689
18,43.1699836072512
19,-8881.381883269176
20,5240.004406074062
21,-625.4772285551298
22,16823.686369897565
23,-75.83540573180653
24,1440.102018572623
25,-2800.6167918916326
26,8407.953241311014
27,-3639.7529951077886
28,5640.480581350857
29,-4314.827977190027
30,1301.2078442058992
31,2343.0440157304984
32,-1672.2038574600592
33,-1605.2311219454277
34,-140.2362068889197
35,-3445.889459915459
36,3.1004399112425745
37,-1220.6658439356834
38,6939.925021982752
39,3074.226461944636
40,-1478.719869524939
41,755.8351769424044
42,3986.696246238891
43,1908.7949998944532
44,-2643.3981402972713
45,1410.6854750497732
46,-24306.972422656603
47,15234.501506338129
48,-16912.981222736184
49,-3882.0728915764485
50,10942.079601718578
51,-5068.0244396536145
52,1340.0976361082867
53,1822.1507728577126
54,9538.925413208082
55,4025.345207290724
56,-12425.416991806123
57,-14016.566062011756
58,7161.1676498032175
59,4028.9890700529795
60,-16188.642895698315
61,9272.14987396216
